,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1021,PTT,2020-12-23 00:00:00+00:00,40.25,41.75,40.25,41,"122,121,200",40.25,41.75,40.25,41,"122,121,200",0,1
1022,PTT,2020-12-24 00:00:00+00:00,41.25,41.5,40.75,40.75,"45,405,500",41.25,41.5,40.75,40.75,"45,405,500",0,1
1023,PTT,2020-12-25 00:00:00+00:00,42,42.25,41.25,41.25,"32,414,000",42,42.25,41.25,41.25,"32,414,000",0,1
1024,PTT,2020-12-28 00:00:00+00:00,41,42.75,41,42.25,"60,698,100",41,42.75,41,42.25,"60,698,100",0,1
1025,PTT,2020-12-29 00:00:00+00:00,42.5,42.5,41,41.25,"41,046,600",42.5,42.5,41,41.25,"41,046,600",0,1
1026,PTT,2020-12-30 00:00:00+00:00,42.5,43.25,42.25,43.25,"67,293,300",42.5,43.25,42.25,43.25,"67,293,300",0,1
1027,PTT,2021-04-01 00:00:00+00:00,42.5,42.75,40.75,41,"74,638,600",42.5,42.75,40.75,41,"74,638,600",0,1
1028,PTT,2021-05-01 00:00:00+00:00,42,42.5,41.25,42.25,"75,867,500",42,42.5,41.25,42.25,"75,867,500",0,1
1029,PTT,2021-06-01 00:00:00+00:00,42.75,43.5,42.5,43,"88,565,400",42.75,43.5,42.5,43,"88,565,400",0.57,1
1030,PTT,2021-07-01 00:00:00+00:00,42.5,43.25,42.25,43,"63,128,900",42.5,43.25,42.25,43,"63,128,900",0,1
1031,PTT,2021-08-01 00:00:00+00:00,42.75,43.5,42,42.75,"83,698,400",42.75,43.5,42,42.75,"83,698,400",0,1
1032,PTT,2021-11-01 00:00:00+00:00,43,43,42.5,42.75,"45,553,200",43,43,42.5,42.75,"45,553,200",0,1
1033,PTT,2021-12-01 00:00:00+00:00,43.75,44,42.5,43,"101,081,900",43.75,44,42.5,43,"101,081,900",0,1
1034,PTT,2021-01-13 00:00:00+00:00,44.5,45,44,44,"129,830,400",44.5,45,44,44,"129,830,400",0,1
1035,PTT,2021-01-14 00:00:00+00:00,44,44.75,44,44.5,"66,527,800",44,44.75,44,44.5,"66,527,800",0,1
1036,PTT,2021-01-15 00:00:00+00:00,43.25,44.75,43,44.25,"124,773,600",43.25,44.75,43,44.25,"124,773,600",0,1
1037,PTT,2021-01-18 00:00:00+00:00,42.5,43.25,42,43,"82,965,000",42.5,43.25,42,43,"82,965,000",0,1
1038,PTT,2021-01-19 00:00:00+00:00,41,42.5,41,42.25,"154,588,600",41,42.5,41,42.25,"154,588,600",0,1
1039,PTT,2021-01-20 00:00:00+00:00,41,41.75,41,41.25,"93,360,500",41,41.75,41,41.25,"93,360,500",0,1
1040,PTT,2021-01-21 00:00:00+00:00,40.75,41.5,40.5,41.5,"73,920,700",40.75,41.5,40.5,41.5,"73,920,700",0,1
1041,PTT,2021-01-22 00:00:00+00:00,39.5,40.75,39.5,40.75,"105,024,200",39.5,40.75,39.5,40.75,"105,024,200",0,1
1042,PTT,2021-01-25 00:00:00+00:00,40,40.5,39.5,39.5,"78,808,700",40,40.5,39.5,39.5,"78,808,700",0,1
1043,PTT,2021-01-26 00:00:00+00:00,39.75,40,39.25,39.75,"66,223,400",39.75,40,39.25,39.75,"66,223,400",0,1
1044,PTT,2021-01-27 00:00:00+00:00,39.25,39.75,39.25,39.5,"53,759,100",39.25,39.75,39.25,39.5,"53,759,100",0,1
1045,PTT,2021-01-28 00:00:00+00:00,38.5,39,38.5,39,"78,536,000",38.5,39,38.5,39,"78,536,000",0,1
1046,PTT,2021-01-29 00:00:00+00:00,37.75,39,37.75,38.75,"99,172,400",37.75,39,37.75,38.75,"99,172,400",0,1
1047,PTT,2021-01-02 00:00:00+00:00,39.25,39.25,37,37.5,"161,452,500",39.25,39.25,37,37.5,"161,452,500",0,1
1048,PTT,2021-02-02 00:00:00+00:00,38.75,40,38.75,39.75,"123,434,300",38.75,40,38.75,39.75,"123,434,300",0,1
1049,PTT,2021-03-02 00:00:00+00:00,38.25,39.5,38,39.25,"103,367,800",38.25,39.5,38,39.25,"103,367,800",0,1
1050,PTT,2021-04-02 00:00:00+00:00,38.25,38.75,38,38.75,"92,014,700",38.25,38.75,38,38.75,"92,014,700",0,1
1051,PTT,2021-05-02 00:00:00+00:00,39,39.5,38.5,38.75,"103,580,800",39,39.5,38.5,38.75,"103,580,800",0,1
1052,PTT,2021-08-02 00:00:00+00:00,40.25,40.75,39.25,39.5,"128,518,800",40.25,40.75,39.25,39.5,"128,518,800",0,1
1053,PTT,2021-09-02 00:00:00+00:00,41,41.75,40.75,41,"135,090,700",41,41.75,40.75,41,"135,090,700",0,1
1054,PTT,2021-10-02 00:00:00+00:00,40.75,41.25,40.25,41,"73,597,200",40.75,41.25,40.25,41,"73,597,200",0,1
1055,PTT,2021-11-02 00:00:00+00:00,40.25,41.25,40,41,"63,452,700",40.25,41.25,40,41,"63,452,700",0,1
1056,PTT,2021-02-15 00:00:00+00:00,41.25,41.5,40.75,40.75,"84,832,900",41.25,41.5,40.75,40.75,"84,832,900",0,1
1057,PTT,2021-02-16 00:00:00+00:00,41,42,41,42,"69,476,400",41,42,41,42,"69,476,400",0,1
1058,PTT,2021-02-17 00:00:00+00:00,40.75,41.25,40.5,41,"46,059,200",40.75,41.25,40.5,41,"46,059,200",0,1
1059,PTT,2021-02-18 00:00:00+00:00,40.5,41.5,40,40.75,"78,147,700",40.5,41.5,40,40.75,"78,147,700",0,1
1060,PTT,2021-02-19 00:00:00+00:00,40,40.25,39.5,40,"60,699,900",40,40.25,39.5,40,"60,699,900",0,1
1061,PTT,2021-02-22 00:00:00+00:00,40,40.5,39.5,40,"51,572,700",40,40.5,39.5,40,"51,572,700",0,1
1062,PTT,2021-02-23 00:00:00+00:00,40.5,41.25,40,40.25,"98,305,000",40.5,41.25,40,40.25,"98,305,000",0,1
1063,PTT,2021-02-24 00:00:00+00:00,39.5,40.75,39.5,40.5,"88,002,400",39.5,40.75,39.5,40.5,"88,002,400",0,1
1064,PTT,2021-02-25 00:00:00+00:00,40,40.75,39.75,40.25,"106,429,500",40,40.75,39.75,40.25,"106,429,500",0,1
1065,PTT,2021-01-03 00:00:00+00:00,40,40.25,39.75,40,"55,518,400",40,40.25,39.75,40,"55,518,400",0,1
1066,PTT,2021-02-03 00:00:00+00:00,39.75,40.25,39.5,39.75,"54,742,000",39.75,40.25,39.5,39.75,"54,742,000",0,1
1067,PTT,2021-03-03 00:00:00+00:00,41,41,40,40,"76,191,500",41,41,40,40,"76,191,500",0,1
1068,PTT,2021-04-03 00:00:00+00:00,40,40.5,40,40.25,"85,198,500",40,40.5,40,40.25,"85,198,500",0,1
1069,PTT,2021-05-03 00:00:00+00:00,40.5,41.25,40.25,40.25,"90,370,700",40.5,41.25,40.25,40.25,"90,370,700",0,1
1070,PTT,2021-08-03 00:00:00+00:00,42,42.5,41.5,41.5,"126,615,700",42,42.5,41.5,41.5,"126,615,700",0,1
1071,PTT,2021-09-03 00:00:00+00:00,41.25,42.25,41,42.25,"95,147,400",41.25,42.25,41,42.25,"95,147,400",0,1
1072,PTT,2021-10-03 00:00:00+00:00,41.5,41.5,40.75,41,"79,871,400",41.5,41.5,40.75,41,"79,871,400",0,1
1073,PTT,2021-11-03 00:00:00+00:00,41.5,42,41.25,41.75,"61,501,400",41.5,42,41.25,41.75,"61,501,400",0,1
1074,PTT,2021-12-03 00:00:00+00:00,41.75,42,41.25,41.75,"63,249,100",41.75,42,41.25,41.75,"63,249,100",0,1
1075,PTT,2021-03-15 00:00:00+00:00,41.25,42,41,41.75,"80,602,500",41.25,42,41,41.75,"80,602,500",0,1
1076,PTT,2021-03-16 00:00:00+00:00,40.75,41.25,40.5,41.25,"63,962,400",40.75,41.25,40.5,41.25,"63,962,400",0,1
1077,PTT,2021-03-17 00:00:00+00:00,40.5,40.75,40,40.5,"94,213,200",40.5,40.75,40,40.5,"94,213,200",0,1
1078,PTT,2021-03-18 00:00:00+00:00,40.5,41.25,40.5,40.75,"48,932,200",40.5,41.25,40.5,40.75,"48,932,200",0,1
1079,PTT,2021-03-19 00:00:00+00:00,40.5,40.5,39.75,40,"80,270,400",40.5,40.5,39.75,40,"80,270,400",0,1
1080,PTT,2021-03-22 00:00:00+00:00,40.5,40.75,40,40.5,"34,058,900",40.5,40.75,40,40.5,"34,058,900",0,1
1081,PTT,2021-03-23 00:00:00+00:00,40.25,40.5,40,40.25,"35,990,800",40.25,40.5,40,40.25,"35,990,800",0,1
1082,PTT,2021-03-24 00:00:00+00:00,40.25,40.25,39.75,40,"45,431,600",40.25,40.25,39.75,40,"45,431,600",0,1
1083,PTT,2021-03-25 00:00:00+00:00,40.25,40.5,40,40.25,"41,435,200",40.25,40.5,40,40.25,"41,435,200",0,1
1084,PTT,2021-03-26 00:00:00+00:00,40.25,40.5,40,40.25,"23,495,900",40.25,40.5,40,40.25,"23,495,900",0,1
1085,PTT,2021-03-29 00:00:00+00:00,40.75,41,40.25,40.5,"49,691,200",40.75,41,40.25,40.5,"49,691,200",0,1
1086,PTT,2021-03-30 00:00:00+00:00,40.75,41.25,40.5,41,"45,195,300",40.75,41.25,40.5,41,"45,195,300",0,1
1087,PTT,2021-03-31 00:00:00+00:00,41,41.25,40.5,40.5,"57,139,700",41,41.25,40.5,40.5,"57,139,700",0,1
1088,PTT,2021-01-04 00:00:00+00:00,40.75,41.25,40.75,41,"52,230,600",40.75,41.25,40.75,41,"52,230,600",0,1
1089,PTT,2021-02-04 00:00:00+00:00,40.5,41.25,40.5,41.25,"40,479,900",40.5,41.25,40.5,41.25,"40,479,900",0,1
1090,PTT,2021-05-04 00:00:00+00:00,40,40.75,40,40.5,"28,921,000",40,40.75,40,40.5,"28,921,000",0,1
1091,PTT,2021-07-04 00:00:00+00:00,39.5,40,39.25,39.75,"83,189,600",39.5,40,39.25,39.75,"83,189,600",0,1
1092,PTT,2021-08-04 00:00:00+00:00,39,39.5,39,39.25,"37,568,700",39,39.5,39,39.25,"37,568,700",0.52,1
1093,PTT,2021-09-04 00:00:00+00:00,39.25,39.75,39,39,"51,489,000",39.25,39.75,39,39,"51,489,000",0,1
1094,PTT,2021-12-04 00:00:00+00:00,39,39.5,38.75,39.25,"37,609,500",39,39.5,38.75,39.25,"37,609,500",0,1
1095,PTT,2021-04-16 00:00:00+00:00,39.75,40,39.25,39.5,"60,260,500",39.75,40,39.25,39.5,"60,260,500",0,1
1096,PTT,2021-04-19 00:00:00+00:00,39.75,40,39.5,39.75,"30,128,300",39.75,40,39.5,39.75,"30,128,300",0,1
1097,PTT,2021-04-20 00:00:00+00:00,39.75,40.25,39.5,39.75,"34,410,000",39.75,40.25,39.5,39.75,"34,410,000",0,1
1098,PTT,2021-04-21 00:00:00+00:00,39.25,39.5,39,39.5,"40,084,200",39.25,39.5,39,39.5,"40,084,200",0,1
1099,PTT,2021-04-22 00:00:00+00:00,39,39.5,39,39.25,"36,460,500",39,39.5,39,39.25,"36,460,500",0,1
1100,PTT,2021-04-23 00:00:00+00:00,38.75,39,38.5,39,"33,893,600",38.75,39,38.5,39,"33,893,600",0,1
1101,PTT,2021-04-26 00:00:00+00:00,38.75,39,38.5,38.75,"34,829,000",38.75,39,38.5,38.75,"34,829,000",0,1
1102,PTT,2021-04-27 00:00:00+00:00,39,39,38.5,38.75,"26,567,400",39,39,38.5,38.75,"26,567,400",0,1
1103,PTT,2021-04-28 00:00:00+00:00,39.25,39.5,38.75,39,"35,232,600",39.25,39.5,38.75,39,"35,232,600",0,1
1104,PTT,2021-04-29 00:00:00+00:00,40.5,40.75,39.5,39.75,"77,856,600",40.5,40.75,39.5,39.75,"77,856,600",0,1
1105,PTT,2021-04-30 00:00:00+00:00,40,40.75,40,40.5,"53,259,900",40,40.75,40,40.5,"53,259,900",0,1
1106,PTT,2021-05-05 00:00:00+00:00,39.5,41,39.25,40.75,"97,820,000",39.5,41,39.25,40.75,"97,820,000",0,1
1107,PTT,2021-06-05 00:00:00+00:00,39.75,40.25,39.25,39.75,"51,747,300",39.75,40.25,39.25,39.75,"51,747,300",0,1
1108,PTT,2021-07-05 00:00:00+00:00,40.5,40.5,39.75,40,"43,201,900",40.5,40.5,39.75,40,"43,201,900",0,1
1109,PTT,2021-10-05 00:00:00+00:00,40.5,41,40,40.75,"39,373,600",40.5,41,40,40.75,"39,373,600",0,1
1110,PTT,2021-11-05 00:00:00+00:00,40.25,40.5,39.75,40,"45,648,500",40.25,40.5,39.75,40,"45,648,500",0,1
1111,PTT,2021-12-05 00:00:00+00:00,39.75,40.25,39.5,40,"57,783,300",39.75,40.25,39.5,40,"57,783,300",0,1
1112,PTT,2021-05-13 00:00:00+00:00,40,40,39.25,39.5,"76,074,000",40,40,39.25,39.5,"76,074,000",0,1
